#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC250800;While you were hunting in the woods, a group of poachers dared to ambush and kidnap you!;Alors que vous chassiez dans les bois, vous avez été capturé par des braconniers !;;;¡Unos malditos furtivos se han atrevido a capturarte mientras cazabas en el bosque! ¡A tí!;;;;;;;;;x
EVTOPTA250800;My family will ransom me: bring them my sigil, at once!;Prévenez ma famille ! Elle paiera la rançon !;;;Mi familia pagará el rescate, llevadle mi sello!;;;;;;;;;x
EVTDESC250801;While hunting in the forest, your [GetFromRelation] [From.GetFirstName] came across some poachers who kidnapped [From.GetHerHim]. The vile scoundrels are now threatening [From.GetHerHis] life, asking a large sum of money to free [From.GetHerHim]!;Alors qu'il chassait dans la forêt, votre [GetFromRelation] [From.GetFirstName] a rencontré des braconniers qui l'ont enlevé. Ils menacent de le tuer si vous ne payez pas une forte somme d'argent !;;;Mientras cazaba en el bosque, tu hijo [From.GetFullName] fue secuestrado por unos furtivos. Demandan un gran cantidad de oro a cambio de su vida.;;;;;;;;;x
EVTOPTA250801;I shall pay... and may the gods curse them!;Je vais payer… Qu'ils soient maudits !;;;Los Otros se los lleven. Pagaremos.;;;;;;;;;x
EVTOPTB250801;I shall hunt them down myself!;Je vais m'en occuper moi-même !;;;¡Yo mismo daré caza a esos perros!;;;;;;;;;x
EVTOPTC250801;My master-at-arms will bring my [GetFromRelation] back to me.;Mon maître-d'armes va me le(a) ramener.;;;Mi maestro de armas me traerá a mi [GetFromRelation] de vuelta.;;;;;;;;;x
EVTDESC250803;Your [GetFromRelation] [From.GetFirstName] was viciously killed by the poachers!;Les braconniers ont tué votre [GetFromRelation] [From.GetFirstName] !;;;¡Los furtivos han matado a tu [GetFromRelation] [From.GetFirstName]!;;;;;;;;;x
EVTDESC250804;Whilst trying to rescue [FromFrom.GetFirstName] from the poachers you were killed!;Vous avez trouvé la mort en tentant de secourir [FromFrom.GetFirstName] !;;;Los furtivos te han matado mientras intentabas rescatar a [FromFrom.GetFirstName]!;;;;;;;;;x
EVTDESC250805;Your master-at-arms [Root.job_marshal.GetTitledFirstName] got killed by the poachers while attempting to rescue your kin!;Les braconniers ont tué votre maître d'armes [Root.job_marshal.GetTitledFirstName] alors qu'il secourait votre parent !;;;Los furtivos han asesinado a tu maestro de armas [Root.job_marshal.GetTitledFirstName] mientras intentaba rescatar a tu hijo.;;;;;;;;;x
EVTDESC250806;Rejoice! Your [GetFromFromRelation] is back, safe and sound!;Réjouissez-vous ! Votre [GetFromFromRelation] est rentré sain et sauf !;;;Tu hijo regresa sano y salvo a casa!;;;;;;;;;x
EVTDESCflavour_events.200;My son and heir, [Root.Heir.GetFirstName], is weak and interested all things soft, like books and fine clothing. He is a poor soldier and, to make matters worse, he is craven! What shall be done with him?;Mon fils et héritier, [Root.Heir.GetFirstName], est faible et doux en toutes choses, il aime les livres et les belles parures. C'est un mauvais soldat et pour ne rien arranger c'est un lâche ! Que faire de lui?;;;Mi hijo y heredero, [Root.Heir.GetFirstName], es débil y se ha dejado llevar por la flojedad de los libros y las prendas lujosas. Tiene poca capacidad como soldado y lo que es peor, ¡es un cobarde! ¿Qué deberíamos hacer con él?;;;;;;;;;x
EVTOPTAflavour_events.200;He may be craven, but he is my son.;C'est peut-être un lâche mais c'est mon fils.;;;Será un cobarde, pero es mi hijo;;;;;;;;;x
EVTOPTBflavour_events.200;I will teach him to be a proper heir.;Je lui enseignerai à être un bon héritier.;;;Le enseñaré a ser un heredero apropiado.;;;;;;;;;x
EVTOPTCflavour_events.200;Beat the fear out of him!;Extirper la terreur qui est en lui !;;;¡Quitémosle el miedo a palos!;;;;;;;;;x
EVTOPTDflavour_events.200;I will see that he has an 'accident' if he does not take the black.;Je m'arrangerai pour qu'il ait un « accident » dans le cas où il refuserait de prendre le noir.;;;Procuremos que vista el Negro... o sufra un terrible accidente.;;;;;;;;;x
EVTTOOLTIPflavour_events.200;Will be forced to choose between his life or the Night's Watch.;Je le forcerai à choisir entre sa vie et la Garde de Nuit. ;;;Será forzado a tomar una decisión entre su vida o la Guardia de la Noche.;;;;;;;;;x
EVTDESCflavour_events.201;My father has said I must join the Night's Watch or he will have me killed in an 'accident'.;Mon père m'a dit que je devais rejoindre la Garde de Nuit ou il s'arrangerait pour que je meure dans un « accident ». ;;;Mi padre me ha dicho que debo unirme a la Guardia de la Noche o se asegurará de que moriré por 'accidente'.;;;;;;;;;x
EVTOPTAflavour_events.201;The murderous bastard, I have no choice but to take the black!;Chien de meurtrier, je n'ai d'autre choix que de prendre le noir !;;;¡Maldito bastardo! No queda otra, debo vestir el Negro.;;;;;;;;;x
EVTOPTBflavour_events.201;Surely he will not go through with his threats? I will refuse...;Il n'ira sûrement pas au bout de ses menaces. Je vais refuser…;;;No se atreverá. No pienso aceptar.;;;;;;;;;x
EVTOPTCflavour_events.201;I must flee for my life!;Je dois fuir pour sauver ma vie !;;;¡Escaparé muy lejos!;;;;;;;;;x
EVTDESCflavour_events.202;[From.GetFirstName] has refused my demand for him to take the black! Perhaps he should join me on a hunting trip then...;[From.GetFirstName] a refusé de prendre le noir malgré mon exigence ! Peut-etre devrait-il m'accompagner à une petite partie de chasse…;;;[From.GetFirstName] ha rechazado mis exigencias acerca de vestir el negro! Tal vez deberíamos irnos de caza...;;;;;;;;;x
EVTOPTAflavour_events.202;Yes, accidents happen.;Oui, les accidents, ça arrive.;;;Sí, los accidentes suelen ocurrir.;;;;;;;;;x
EVTOPTBflavour_events.202;Prison will suffice.;La prison suffira.;;;La prisión será suficiente.;;;;;;;;;x
EVTOPTCflavour_events.202;If he has the courage to refuse me, perhaps he will serve.;S'il a le courage de refuser, peut-être qu'il servira.;;;Uhm, si tiene el valor para oponérseme, quizá no sea tan inútil, después de todo...;;;;;;;;;x
EVTDESCflavour_events.203;Your murder of your own son has been discovered, kinslayer!;Le meurtre de votre propre fils a été découvert, assassin de votre propre sang !;;;¡El asesinato de vuestro heredero ha sido descubierto!;;;;;;;;;x
EVTOPTAflavour_events.203;The kinslayer is accursed...;L'assassin de son propre sang est maudit…;;;La maldición del parricida se cierne sobre ti...;;;;;;;;;x
EVTDESCflavour_events.204;[From.GetFirstName], alarmed at your demands, has been caught trying to flee. What shall be done with him?;[From.GetFirstName], alarmé par vos exigences, a tenté de s'enfuir. Que faire de lui?;;;[From.GetFirstName], alertado por vuestras exigencias ha sido capturado cuando trataba de escapar. ¿Qué queréis que hagamos con él?;;;;;;;;;x
EVTOPTAflavour_events.204;Dungeons are dangerous...;Les oubliettes sont dangeureuses…;;;Las mazmorras son peligrosas...;;;;;;;;;x
EVTOPTCflavour_events.204;Let him rot!;Laissez-le pourrir !;;;¡Qué se pudra!;;;;;;;;;x
EVTDESCflavour_events.205;Your heir has fled your court after hearing of your demands.;Votre héritier a fui votre cour après avoir entendu vos exigences.;;;Tu heredero escapó de la corte tras escuchar vuestras exigencias.;;;;;;;;;x
EVTOPTAflavour_events.205;Blast!;Malédiction !;;;¡Maldición!;;;;;;;;;x
EVTDESCflavour_events.206;[From.GetFirstName] has seen the wisdom in your ultimatum and has agreed to take the black.;[From.GetFirstName] a fini par réaliser le sérieux de votre ultimatum et a accepté de prendre le noir.;;;[From.GetFirstName]  está de acuerdo en tomar el negro.;;;;;;;;;x
EVTOPTAflavour_events.206;Excellent.;Excellent. ;;;Excelente.;;;;;;;;;x
EVTTOOLTIPflavour_events.203;Murder will be discovered;Le meurtre sera découvert;;;El homidicio será descubierto.;;;;;;;;;x
opinion_beaten;Beaten;Battu;;;Superado.;;;;;;;;;x
opinion_forced_take_black;Forced to take the black;Forcé à prendre le noir;;;Forzado a vestir el negro;;;;;;;;;x
EVTDESCtrait_notification.1;Inflicting misery on those around me no longer pleases me, I have lost the cruel trait.;Faire souffrir mon entourage ne me plaît plus, j'ai perdu le trait « Cruel ».;;;Infligir miseria en todos aquellos que me rodean ya no me satisface. He perdido el rasgo de Cruel.;;;;;;;;;x
