#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_other;The Other;L'Autre;Der Andere;;Gran Otro;;;;;;;;;x
e_other_adj;The Other;L'Autre;Der Andere;;Gran Otro;;;;;;;;;x
k_rhllor;The Ecumenical Patriarchy;La Patriarche œcuménique;Das Ökumenische Patriarchat;;El Cónclave Llameante;;;;;;;;;x
k_rhllor_adj;Patriarchal;Patriarche;Patriarchalisch;;Cónclave Llameante;;;;;;;;;x
HSEPTON;High Septon;Grand Septon;High Septon;;Septón Supremo;;;;;;;;;x
HSEPTON_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
k_the_most_devout;The Most Devout;Leurs Saintetés;;;Los Máximos Devotos;;;;;;;;;x
k_the_most_devout_adj;Most Devout;Leurs Saintetés;;;Máximos Devotos;;;;;;;;;x
temple_emperor;Emperor-Priest;Empereur-Prêtre;;;Emperador-Sacerdote;;;;;;;;;x
temple_emperor_the_seven;High Septon;Grand Septon;;;Septón Supremo Imperial;;;;;;;;;x
temple_emperor_drowned_god;Drowned-King;Roi-Noyé;;;Emperador-Ahogado;;;;;;;;;x
temple_emperor_rhllor;High Priest;Grand Prêtre;Hoher Priester;;Máximo sacerdote rojo Imperial;;;;;;;;;x
temple_emperor_storm_god;Storm King;Roi des Tempêtes;Ertrunkener Mann;;Emperador Tormenta;;;;;;;;;x
temple_emperor_qarth_warlocks;High Warlock;Grand Conjurateur;;;Brujo Supremo Imperial;;;;;;;;;x
temple_emperor_ghiscar_rel;Serene Grace;Grâce Sereine;;;Serenísima Gracia Verde Imperial;;;;;;;;;x
temple_emperor_shadowbinders;High Shadow;Grande Ombre;;;Sombra Suprema Imperial;;;;;;;;;x
temple_emperor_valyrian;Arch-Stormsinger;Archi-Enchanteur de tornades;;;Máximo Bardo de Tormentas Imperial;;;;;;;;;x
temple_emperor_jogos_pagan;High Moonsinger;Grande Chantelune;;;Máxima Cantora Lunar Imperial;;;;;;;;;x
