#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
plot_replace_castellan_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as [Root.GetJobTitle];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_castellan_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];[From.GetTitledFirstName] [From.GetOnlyDynastyName] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;[From.GetTitledFirstName] [Root.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_chancellor_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as [Root.GetJobTitle];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_chancellor_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];[From.GetTitledFirstName] [From.GetOnlyDynastyName] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_marshal_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as [Root.GetJobTitle];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_marshal_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];[From.GetTitledFirstName] [From.GetOnlyDynastyName] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_treasurer_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as [Root.GetJobTitle];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_treasurer_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];[From.GetTitledFirstName] [From.GetOnlyDynastyName] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_spymaster_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as [Root.GetJobTitle];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_spymaster_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];[From.GetTitledFirstName] [From.GetOnlyDynastyName] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_councillor_title;Replace [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] as a Councillor;Remplacer [Root.GetTitledFirstName] comme châtelain;;;Reemplazar a [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] como Consejero;;;;;;;;;x
plot_replace_councillor_desc;[From.GetTitledFirstName] [From.GetOnlyDynastyName] believes that [From.GetSheHe] would be a better councillor than [Root.GetTitledFirstName] [Root.GetOnlyDynastyName];Remplacer [Root.GetTitledFirstName] [Root.GetOnlyDynastyName] comme conseiller.;;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] cree que podría ser un mejor Consejero que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
opinion_council_sponsor;Supports My Council Membership;Soutient ma place au Conseil;;;Apoya mi puesto en el Consejo;;;;;;;;;x
opinion_former_council_sponsor;Supported My Council Membership;A soutenu ma place au Conseil;;;Apoyó mi puesto en el Consejo;;;;;;;;;x
opinion_rival_council_candidate;Rival For Council Membership;Rival pour mon poste au Conseil;;;Rival por el puesto en el Consejo;;;;;;;;;x
opinion_rival_council_sponsor;Supported a Rival For My Council Membership;A soutenu un Rival pour mon poste au Conseil;;;Apoyó a un pretendiente de mi puesto en el Consejo;;;;;;;;;x
opinion_rejected_council_candidate;Denied My Preferred Candidate a Council Office;A refusé une place au Conseil à mon candidat préféré ;;;Denegó un puesto en el Consejo a mi candidato preferido;;;;;;;;;x
opinion_approved_council_candidate;Gave My Preferred Candidate a Council Office;A octroyé une place au Conseil à mon candidat préféré;;;Otorgó un puesto en el Consejo a mi candidato preferido;;;;;;;;;x
opinion_replaced_council_candidate;Unrightfully Removed a Councillor;A injustement remplacé un Conseiller;;;Despidió injustamente a un Consejero;;;;;;;;;x
opinion_rejected_rival_council_candidate;Kept My Preferred Candidate on the Council;A gardé mon candidat préféré au Conseil;;;Mantuvo a mi candidato preferido en el Consejo;;;;;;;;;x
opinion_sponsor_betrayed_me;Revoked Support For My Council Office;A révoqué son soutien pour ma place au Conseil;;;Canceló su apoyo a mi puesto en el Consejo;;;;;;;;;x
REGENT_DEMAND;Your regent has forced you to make this decision.\n;Votre régent vous a forcé à prendre cette décision.\n;;;Tu regente te ha obligado a tomar esta decisión.\n;;;;;;;;;x
CONFIRM_PLOT;You have already agreed to make this decision.\n;Vous avez déjà accepté de prendre cette décision.\n;;;Has accedido a tomar esta decisión.\n;;;;;;;;;x
